make of transport	2008	2009	2010	2011	2012	2013	2014	2015	2016	
A.P.E.L	0	0	0	0	0	0	0	0	0
Abbey	0	0	0	0	0	0	0	0	0
ABS Trenchless	0	0	0	0	0	0	0	0	0
Acbus	0	0	0	0	0	0	0	0	0
Access	0	0	0	0	0	0	0	0	0
Ace	1	1	1	1	1	1	1	1	1
ACI Riesweiler	0	0	0	0	0	0	0	0	0
Acura	0	0	0	0	0	2	3	3	2
Ad Boivin	0	0	0	0	0	0	0	0	0
Ad.El	0	0	0	0	0	0	0	0	0
Adi-Tek	0	0	0	0	0	0	0	0	0
Adiva	0	0	0	0	0	0	0	0	0
Adria	0	70	169	324	490	690	871	1147	1427
Aebi	0	0	0	0	0	0	0	0	0
Aec	0	0	0	0	0	0	0	0	0
Aeon	0	0	0	0	0	0	0	0	0
Aeon Motors	0	0	0	0	0	0	0	0	0
Aero	0	0	0	0	0	0	0	0	0
Agados	0	0	0	0	0	0	0	0	0
Agirra	0	0	0	0	0	0	0	0	0
AGM	0	0	0	0	0	0	0	0	0
Agromet	0	0	0	0	0	0	0	0	0
Aie	0	0	0	0	0	0	0	0	0
Aima	0	0	0	0	0	0	0	0	0
Airstream	0	0	0	0	0	0	0	0	0
Airtrailer	0	0	0	0	0	0	0	0	0
Aixam	1	0	0	0	0	0	0	0	0
Ajs	0	0	0	0	0	0	0	0	0
Ak Fahrzeuge	0	0	0	0	0	0	0	0	0
Aksoyly	0	0	0	0	0	0	0	0	0
Aktiebolaget Geo-Plast	0	0	0	0	0	0	0	0	0
Aktiv	0	0	0	0	0	0	0	0	0
Alf	0	0	0	0	0	0	0	0	0
Alfa Romeo	4129	4249	4690	5072	5333	5362	5342	5153	4983
Alfe S.L.	0	0	0	0	0	0	0	0	0
Allgaier	0	0	0	0	0	0	0	0	0
Allis-Chalmers	0	0	0	0	0	0	0	0	0
Alpina	0	0	0	0	0	0	0	1	2
Alpus	0	0	0	0	0	0	0	0	0
Altech	0	0	0	0	0	0	0	0	0
