make of transport	2008	2009	2010	2011	2012	2013	2014	2015	2016	
Motrac	0	0	0	0	0	0	0	0	0
Motrail	0	0	0	0	0	0	0	0	0
Motron	0	0	0	0	0	0	0	0	0
Moxy	0	0	0	0	0	0	0	0	0
Mr Mobile	0	0	0	0	0	0	0	0	0
Mst	0	0	0	0	0	0	0	0	0
MTDK	0	0	0	0	0	0	0	0	0
Mtl	0	0	0	0	0	0	0	0	0
Mtr.	0	0	0	0	0	0	0	0	0
MTZ	0	0	0	0	0	0	0	0	0
Mueller-Mitteltal	0	0	0	0	0	0	0	0	0
Muir-Hill	0	0	0	0	0	0	0	0	0
Muldi	0	0	0	0	0	0	0	0	0
Muldy	0	0	0	0	0	0	0	0	0
Muller Oldenburg	0	0	0	0	0	0	0	0	0
Mullerup	0	0	0	0	0	0	0	0	0
Multiva	0	0	0	0	0	0	0	0	0
Multivans	0	0	0	0	0	0	4	26	36
Munktell	0	0	0	0	0	0	0	0	0
Munsterland	0	0	0	0	0	0	0	0	0
Muovityo Hiltunen	0	0	0	0	0	0	0	0	0
Mustang	13	17	17	18	17	17	16	17	17
Muuli	0	0	0	0	0	0	0	0	0
Muz	0	0	0	0	0	0	0	0	0
Mv Agusta	0	0	0	0	0	0	0	0	0
Mw-Slepet	0	0	0	0	0	0	0	0	0
Mylane B.V	0	0	0	0	0	0	0	0	0
Mz	0	0	0	0	0	0	0	0	0
Møslein	0	0	0	0	0	0	0	0	0
N.M.V.	0	0	0	0	0	0	0	0	0
Nanfang	0	0	0	0	0	0	0	0	0
Narko	0	0	0	0	0	0	0	0	0
Nash	84	88	88	88	91	93	96	100	101
Navtek	0	0	0	0	0	0	0	0	0
NC-Engineering	0	0	0	0	0	0	0	0	0
Neckar	14	14	15	14	15	14	16	17	17
Nene Valley	0	0	0	0	0	0	0	0	0
Neptun	0	0	0	0	0	0	0	0	0
Neuenhauser Maschinenbau	0	0	0	0	0	0	0	0	0
New Holland	0	0	0	0	0	0	0	0	0
Nfm	0	0	0	0	0	0	0	0	0
Nicolas	0	0	0	0	0	0	0	0	0
Nicom	0	0	0	0	0	0	0	0	0
Niesmann Bischoff	0	15	49	68	89	117	149	180	220
Niewiadow	0	0	0	0	0	0	0	0	0
Nilsson	63	84	82	94	97	102	107	115	128
Nimbus	0	0	0	0	0	0	0	0	0
Nissan	83018	82637	82658	83379	85060	89233	95261	100637	106204
NIU	0	0	0	0	0	0	0	0	0
NK Bike	0	0	0	0	0	0	0	0	0
Nobas	0	0	0	0	0	0	0	0	0
Noc Agro	0	0	0	0	0	0	0	0	0
Nokka	0	0	0	0	0	0	0	0	0
Nonnenmacher	0	0	0	0	0	0	0	0	0
Nooteboom Trailers B.V	0	0	0	0	0	0	0	0	0
Nopa	0	0	0	0	0	0	0	0	0
Nor Slep	0	0	0	0	0	0	0	0	0
Nordic Tank	0	0	0	0	0	0	0	0	0
Nordic Trailer	0	0	0	0	0	0	0	0	0
Nordland	0	0	0	0	0	0	0	0	0
Nordtrac	0	0	0	0	0	0	0	0	0
Norgeshengern	0	0	0	0	0	0	0	0	0
Norsjø	0	0	0	0	0	0	0	0	0
Norsk Caravan Industri	0	0	0	0	0	0	0	0	0
Norsk Flyindustri	0	0	0	0	0	0	0	0	0
Norton	0	0	0	0	0	0	0	0	0
Npo Saturn	0	0	0	0	0	0	0	0	0
Nsu	82	82	86	94	97	100	102	101	105
Ntm	0	0	0	0	0	0	0	0	0
Nuffield	0	0	0	0	0	0	0	0	0
Nugent	0	0	0	0	0	0	0	0	0
Nv	0	0	0	0	0	0	0	0	0
Nøding Verksteder	0	0	0	0	0	0	0	0	0
Oberaigner Automotive GMBH	0	0	0	0	0	0	0	0	0
Obermaier	0	0	0	0	0	0	0	0	0
Ockelbo	0	0	0	0	0	0	0	0	0
Odes	0	0	0	0	0	0	0	0	0
Ohlmeier	0	0	0	0	0	0	0	0	0
Ohna	0	0	0	0	0	0	0	0	0
Ohna Maur	0	0	0	0	0	0	0	0	0
Okai	0	0	0	0	0	0	0	0	0
Oldsmobile	758	781	823	854	864	878	894	909	915
Ole R. Aasen	0	0	0	0	0	0	0	0	0
Oliver	0	0	0	0	0	0	0	0	0
Olrich	0	0	0	0	0	0	0	0	0
Olympic	0	0	0	0	0	0	0	0	0
OMSP Macola	0	0	0	0	0	0	0	0	0
Opel	156324	152489	147519	141989	135169	126783	118061	110279	103362
Opio	0	0	0	0	0	0	0	0	0
Orion	0	0	0	0	0	0	0	0	0
Orkel	0	0	0	0	0	0	0	0	0
Orkel Foldtrailer	0	0	0	0	0	0	0	0	0
Ory	0	0	0	0	0	0	0	0	0
Outboard Marine	0	0	0	0	0	0	0	0	0
Overland	0	0	0	0	0	0	0	0	1
Ovox	0	0	0	0	0	0	0	0	0
Oweren	0	0	0	0	0	0	0	0	0
Oxygen	0	0	0	0	0	0	0	0	0
P.G.O.	0	0	0	0	0	0	0	0	0
Packard	107	112	115	116	119	122	122	126	130
Pacton	0	0	0	0	0	0	0	0	0
Pagsta	0	0	0	0	0	0	0	0	0
Palms	0	0	0	0	0	0	0	0	0
Palmse Metall	0	0	0	0	0	0	0	0	0
Palomino	0	0	0	0	0	0	0	0	0
Pan	0	0	0	0	0	0	0	0	0
Panhard	10	10	10	8	8	8	9	9	9
Pannonia	0	0	0	0	0	0	0	0	0
Panther	0	0	0	0	0	0	0	0	2
Paoletti Racing	0	0	0	0	0	0	0	0	0
Paragan	0	0	0	0	0	0	0	0	0
Parator	0	0	0	0	0	0	0	0	0
Paxster	0	0	0	0	0	0	0	0	0
Pc	0	0	0	0	0	0	0	0	0
Peace Sports	0	0	0	0	0	0	0	0	0
Pedersborg	0	0	0	0	0	0	0	0	0
Pega	0	0	0	0	0	0	0	0	0
Pelpi International	0	0	0	0	0	0	0	0	0
Peterbilt	0	0	0	0	0	0	0	0	0
Petmas-Weckmanin	0	0	0	0	0	0	0	0	0
Pe-Tra	0	0	0	0	0	0	0	0	0
Peugeot	93520	95174	98191	101523	103683	104008	105341	104988	103509
PG-Bikes	0	0	0	0	0	0	0	0	0
Phoenix	0	1	1	5	6	8	9	10	10
PHV	0	0	0	0	0	0	0	0	0
Piaggio	1	1	1	1	0	0	1	1	1
Piaggio Vespa	0	0	0	0	0	0	0	0	0
Pilato S.P.A	0	0	0	0	0	0	0	0	0
Pilka	0	0	0	0	0	0	0	0	0
Pilote	0	15	34	65	168	262	331	427	574
Pioneer	0	0	0	0	0	0	0	0	0
Pirila	0	0	0	0	0	0	0	0	0
Pivco	7	6	3	2	2	2	2	2	2
Pla	0	0	0	0	0	0	0	0	0
Plymouth	785	788	768	748	748	737	721	724	718
Pobeda	10	10	10	10	10	12	12	13	13
Poessl	0	0	0	0	0	0	0	26	87
Polar	0	0	0	0	0	0	1	1	1
Polar Metal Plast	0	0	0	0	0	0	0	0	0
Polaris	3	3	3	3	4	4	5	5	5
Poletta	0	0	0	0	0	0	0	0	0
Polonez	4	4	4	4	5	3	3	3	3
Polski Fiat	10	11	13	15	15	16	15	14	17
Pongratz	0	0	0	0	0	0	0	0	0
Pontiac	2080	2164	2201	2188	2203	2202	2223	2238	2268
Porsche	3663	3902	4253	4742	5522	6321	7227	7950	8786
Portequip LTD	0	0	0	0	0	0	0	0	0
Poznanska	0	0	0	0	0	0	0	0	0
Praga	0	0	0	0	0	0	0	0	0
Predom	0	0	0	0	0	0	0	0	0
Prestby	0	0	0	0	0	0	0	0	0
Primbox SP.SO.O	0	0	0	0	0	0	0	0	0
Primoplex	0	0	0	0	0	0	0	0	0
Prince (Pmc)	3	3	3	4	4	3	3	3	3
Princess	7	7	8	7	6	7	7	7	8
Pronar	0	0	0	0	0	0	0	0	0
Præstbro	0	0	0	0	0	0	0	0	0
Puch	4	4	4	3	2	3	4	4	5
Pue Mobility	0	0	0	0	0	0	0	0	0
Pur Sang	0	0	0	0	0	0	0	0	0
Pøssl	0	0	0	9	31	58	103	183	235
Qingqi	0	0	0	0	0	0	0	0	0
Quaddy	0	0	0	0	0	0	0	0	0
Quattro	63	71	77	90	107	128	141	156	183
R.H.C.	0	0	0	0	0	0	0	0	0
R.M. Trailers	0	0	0	0	0	0	0	0	0
Raclet	0	0	0	0	0	0	0	0	0
Ra-Gla	0	0	0	0	0	0	0	0	0
Ragnar Valsson	0	0	0	0	0	0	0	0	0
Rajd	0	0	0	0	0	0	0	0	0
Raleigh	0	0	0	0	0	0	0	0	0
Ram	0	0	0	0	0	0	0	0	0
Rambler	76	74	74	75	71	72	70	73	72
Ramzey	0	0	0	0	0	0	0	0	0
Randers	0	0	0	0	0	0	0	0	0
Range Rover	441	419	407	398	374	344	324	306	281
Rapid	0	0	1	1	1	4	3	4	4
Rapido	0	124	293	487	699	928	1136	1334	1541
Raufossmopeden	0	0	0	0	0	0	0	0	0
Rc	0	0	0	0	0	0	0	0	0
Redneck Enginering	0	0	0	0	0	0	0	0	0
Redwood Global Ltd	0	0	0	0	0	0	0	0	0
Regal	0	0	0	0	0	0	0	0	0
Regard	0	0	0	0	0	0	0	0	0
Reggiana Rimorchi	0	0	0	0	0	0	0	0	0
Reko Trailer	0	0	0	0	0	0	0	0	0
Reliant	0	0	0	1	0	0	2	2	2
Renault	48504	47301	45003	42246	38809	35084	32250	30969	29795
Renault Samsung	0	0	0	0	0	0	0	0	0
Renders	0	0	0	0	0	0	0	0	0
Reo	8	8	8	9	9	9	9	10	12
Replika kjøretøy	0	0	0	0	0	0	0	0	1
Respo	0	0	0	0	0	0	0	0	0
Reva	0	0	0	0	0	0	0	0	0
Rewaco	2	2	2	2	2	2	2	2	2
Rex	0	0	0	0	0	0	0	0	0
Reynolds Boughton Ltd	0	0	0	0	0	0	0	0	0
Rhon	0	0	0	0	0	0	0	0	0
Richard Western	0	0	0	0	0	0	0	0	0
Richardson	0	0	0	0	0	0	0	0	0
Rickman	0	0	0	0	0	0	0	0	0
Rieju	0	0	0	0	0	0	0	0	0
Riga	0	0	0	0	0	0	0	0	0
Riley	31	31	32	33	33	34	33	35	35
Rimor	0	49	110	169	256	332	399	463	482
Riya	0	0	0	0	0	0	0	0	0
Roadless	1	1	1	1	1	1	0	0	0
Roadmaster	0	0	0	0	0	0	0	0	0
Robur	0	0	0	0	0	0	0	0	0
Roelofsen	0	0	0	0	0	0	0	0	0
Rohr	0	0	0	0	0	0	0	0	0
Rojo	0	0	0	0	0	0	0	0	0
Rolfo	0	0	0	0	0	0	0	0	0
Roller Team	0	0	0	0	0	0	40	100	163
Rolls-Royce	228	241	249	259	280	296	304	308	307
Rom B.V.	0	0	0	0	0	0	0	0	0
Romet Motors	0	0	0	0	0	0	0	0	0
Ronidan	0	0	0	0	0	0	0	0	0
Rosenbauer	0	0	0	0	0	0	0	0	0
Rossknecht	0	0	0	0	0	0	0	0	0
Rotec	0	0	0	0	0	0	0	0	0
Rover	4513	4297	3949	3614	3193	2831	2439	2129	1832
Roxon	0	0	0	0	0	0	0	0	0
Royal Enfield	0	0	0	0	0	0	0	0	0
Ruku	0	0	0	0	0	0	0	0	0
Rununion	0	0	0	0	0	0	0	0	0
Rusch	1	1	1	1	2	1	1	1	1
Russo-Balt	0	0	0	0	0	0	0	0	0
Rydhs	0	0	0	0	0	0	0	0	0
Rydwan	0	0	0	0	0	0	0	0	0
Rysky	0	0	0	0	0	0	0	0	0
